City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Bindura,ZW,2022-05-16 00:06:10,-17.3019,31.3306,50.65,83,0,2.59
69,Atuona,PF,2022-05-16 00:06:10,-9.8,-139.0333,78.82,72,17,16.49
70,Energeticheskiy,KZ,2022-05-16 00:06:11,43.4278,77.0222,50.56,87,20,2.24
71,Boa Vista,BR,2022-05-16 00:06:11,2.8197,-60.6733,84.18,74,40,1.14
72,Punta Arenas,CL,2022-05-16 00:04:14,-53.15,-70.9167,42.91,81,0,5.75
73,Jiuquan,CN,2022-05-16 00:02:15,39.7432,98.5174,57.16,10,20,3.22
74,Vardo,NO,2022-05-16 00:06:12,70.3705,31.1107,37.38,81,100,10.36
75,Alofi,NU,2022-05-16 00:05:58,-19.0595,-169.9187,77.5,58,94,12.95
76,Henties Bay,NA,2022-05-16 00:06:13,-22.116,14.2845,63.16,61,1,4.27
77,Concarneau,FR,2022-05-16 00:06:14,47.875,-3.9225,62.82,92,67,9.55
78,Atar,MR,2022-05-16 00:06:14,20.5169,-13.0499,91.2,14,42,9.33
79,Sorland,NO,2022-05-16 00:06:15,67.667,12.6934,39.06,68,100,21.74
80,Nahavand,IR,2022-05-16 00:06:15,34.1885,48.377,59.65,37,0,3.53
81,Esperance,AU,2022-05-16 00:06:16,-33.8667,121.9,51.64,74,100,2.15
82,Pitimbu,BR,2022-05-16 00:06:16,-7.4706,-34.8086,77.59,84,59,7.14
83,Sulangan,PH,2022-05-16 00:06:17,11.1373,123.7228,82.56,76,100,5.99
84,Christchurch,NZ,2022-05-16 00:03:50,-43.5333,172.6333,57.42,94,75,6.91
85,Warrnambool,AU,2022-05-16 00:06:17,-38.3833,142.4833,55.81,70,99,19.69
86,Yumen,CN,2022-05-16 00:06:18,40.2833,97.2,54.21,11,1,7.07
87,Touros,BR,2022-05-16 00:06:18,-5.1989,-35.4608,77.88,88,48,8.95
88,Tiksi,RU,2022-05-16 00:06:19,71.6872,128.8694,13.51,93,91,5.26
89,Faanui,PF,2022-05-16 00:06:20,-16.4833,-151.75,80.02,70,67,4.45
90,Ostrovnoy,RU,2022-05-16 00:06:20,68.0531,39.5131,34.3,89,64,6.55
91,Pastavy,BY,2022-05-16 00:06:21,55.1168,26.8326,38.26,86,48,9.55
92,Ayna,PE,2022-05-16 00:06:21,-12.65,-73.9167,61.7,89,71,1.01
93,Bonfim,BR,2022-05-16 00:06:22,3.0833,-59.95,78.62,79,90,3.27
94,New Norfolk,AU,2022-05-16 00:06:22,-42.7826,147.0587,51.3,72,83,5.01
95,Bellevue,US,2022-05-16 00:07:23,47.6104,-122.2007,62.31,90,100,6.91
96,Hasaki,JP,2022-05-16 00:07:23,35.7333,140.8333,57.6,89,100,16.13
97,San Cristobal,VE,2022-05-16 00:07:24,7.7669,-72.225,68.31,92,100,3.0
98,Bredasdorp,ZA,2022-05-16 00:07:25,-34.5322,20.0403,54.63,85,0,3.6
99,Alta Floresta,BR,2022-05-16 00:07:26,-9.8756,-56.0861,74.03,91,36,3.85
100,Nouadhibou,MR,2022-05-16 00:07:26,20.931,-17.0347,70.02,66,87,22.3
101,Husavik,IS,2022-05-16 00:07:27,66.0449,-17.3389,46.18,86,63,9.28
102,Saskylakh,RU,2022-05-16 00:07:27,71.9167,114.0833,33.4,100,100,5.7
103,Rondonopolis,BR,2022-05-16 00:07:32,-16.4708,-54.6356,72.99,86,43,9.48
