City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Bluff,NZ,-46.6,168.3333,51.51,72,100,27.74,overcast clouds
79,Horodnytsya,UA,50.807,27.3168,48.02,97,100,6.67,light rain
80,Chokurdakh,RU,70.6333,147.9167,32.56,99,100,2.17,light snow
81,Kasganj,IN,27.8167,78.65,82.2,50,2,9.69,clear sky
82,Naryan-Mar,RU,67.6713,53.087,28.42,86,100,24.52,overcast clouds
83,Raudeberg,NO,61.9875,5.1352,54.86,71,100,12.03,overcast clouds
84,Tekkali,IN,18.6167,84.2333,81.82,77,41,2.01,scattered clouds
85,Pendencias,BR,-5.26,-36.7222,73.56,92,25,1.63,scattered clouds
86,Tuatapere,NZ,-46.1333,167.6833,46.42,80,62,7.85,broken clouds
87,Bumba,CD,2.1833,22.4667,74.39,81,92,2.55,overcast clouds
88,Kapuskasing,CA,49.4169,-82.4331,46.49,76,75,12.66,broken clouds
89,Sorong,ID,-0.8833,131.25,77.41,81,100,4.52,overcast clouds
90,Barcelos,PT,41.5388,-8.6151,63.84,95,68,4.5,broken clouds
91,Olinda,BR,-8.0089,-34.8553,78.53,83,75,9.22,broken clouds
92,Suicheng,CN,33.8963,117.9331,65.91,70,20,5.91,few clouds
93,Bethel,US,41.3712,-73.414,90.45,56,0,11.5,clear sky
94,Ravar,IR,31.2656,56.8055,67.89,15,0,1.23,clear sky
95,Jalu,LY,29.0331,21.5482,72.07,28,0,8.41,clear sky
96,Sanchor,IN,24.7553,71.7722,82.83,77,14,19.15,few clouds
97,Vilyuysk,RU,63.7553,121.6247,51.98,58,66,1.95,broken clouds
98,Tecoanapa,MX,16.5167,-98.75,84.76,60,0,9.33,clear sky
99,Cerrito,CO,6.8432,-72.694,60.35,79,25,2.57,scattered clouds
100,Grootfontein,NA,-19.5667,18.1167,40.57,70,0,2.3,clear sky
101,Salalah,OM,17.0151,54.0924,84.29,74,75,5.75,broken clouds
102,Airai,TL,-8.9266,125.4092,58.91,91,50,3.67,scattered clouds
103,Hami,CN,42.8,93.45,77.27,20,79,10.47,broken clouds
